Audience segment,Type,Campaign,Ad groups,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
Mother's Day Flowers & Greeting Cards,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],84,256,32.81%,USD,0.51,42.76
"Wallets, Briefcases & Leather Goods",In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],3,8,37.50%,USD,0.75,2.24
Only FP Site,Custom combination segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],10,82,12.20%,USD,3.25,32.55
Swimwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],1,1,100.00%,USD,1.22,1.22
NauticaNewArrivalsPaidRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],15,57,26.32%,USD,0.70,10.51
SALES PAGE VISITORS - 90 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],1,7,14.29%,USD,0.56,0.56
Value Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],1,10,10.00%,USD,0.01,0.01
Air Travel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],18,82,21.95%,USD,0.70,12.58
NauticaMwDenimPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],11,56,19.64%,USD,1.72,18.88
In a Relationship,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],6,33,18.18%,USD,0.30,1.79
Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,13,15.38%,USD,0.97,1.94
Men's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],5,42,11.90%,USD,0.51,2.55
Outerwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],88,482,18.26%,USD,0.75,66.18
Renters,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],25,116,21.55%,USD,0.67,16.85
Nautica2023HolidayShoppersList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],70,143,48.95%,USD,0.81,56.75
Travel Buffs,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],3,22,13.64%,USD,0.34,1.03
SALES PAGE VISITORS - 30 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],2,14,14.29%,USD,1.20,2.40
News & Politics,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],501,"2,097",23.89%,USD,0.95,478.02
Luxury Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],6,18,33.33%,USD,0.17,1.02
Music Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],227,"1,350",16.81%,USD,0.58,132.69
Employment,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],17,106,16.04%,USD,0.76,12.86
Parents of Teens (13-17 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],4,22,18.18%,USD,1.09,4.36
Purchasers of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],71,171,41.52%,USD,0.72,50.93
Luxury Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],9,52,17.31%,USD,0.53,4.73
Women's Apparel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],1,10,10.00%,USD,0.01,0.01
Purchasers of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,10,20.00%,USD,0.45,0.89
Suits & Business Attire,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],1,4,25.00%,USD,0.32,0.32
Parents of Preschoolers (4-5 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],1,6,16.67%,USD,0.56,0.56
All Site Visitors - 14 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],3,32,9.38%,USD,0.43,1.28
NauticaEasyStreetEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],14,27,51.85%,USD,1.05,14.74
Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],16,65,24.62%,USD,0.81,13.02
Nautica2023HolidayShoppersList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],5,14,35.71%,USD,1.31,6.54
